,,,,,,,,,9.1,6.5,4,3.5,0.5,5.7,,0.22037,0.58558,-8.4,,9.6,5.1,4.2,2.5,1.75,5.7859,3.5605,1.6541,2025,2024,2023,2022,21/19/18/17,-7.4,1.5,1.25,1,0.75,0.5,,-1.06848,1.56055,-0.49364,2.40336,-0.99436,1.46856,0.08569,-4.5022,-3.49112,1.63943,-0.02901,7.73187,3.52565,0.34867,1.22251,2.94483,3.11106
,Year,,Value,,,,,Win%,Last year win %,2 year prior win %,3 year prior win %,4 year prior win %,5 year prior win %,Consecutive seasons above .500 (MAX 5),Above .500 seasons in past 5 years,Above .500 seasons in past 5 years squared,Mid Major above 500 years,Below .500 years as a power conference school past 5 years,5 Year average,March Games 1 year prior (include first four),March Games 2 year prior,March Games 3 year prior,March Games 4 year prior,March Games 5 year prior,Previous Year Conference Tournament Wins,2 Year Prior Conference Tournament Wins,3 Year Prior Conference Tournament Wins,"March Location (seeding, NIT, CIT, CBI, Missed) last year","March Location (seeding, NIT, CIT, CBI, Missed) 2 year","March Location (seeding, NIT, CIT, CBI, Missed) 3 year","March Location (seeding, NIT, CIT, CBI, Missed) 4 year","March Location (seeding, NIT, CIT, CBI, Missed) 5 year",Power Misses,,,,,,Coaching changes in past 5 seasons (prior to 21-22 season for 26),Coaching Changes in last 5 years squared,March Wins past 5 seasons (not including first four),March Losses past 5 seasons (Inc first 4),March wins ^1/2,March Losses ^1/2,Upsets Made in past 5 March appearances,Upsets Made in past 5 March appearances Squared,Times upset in past 5 March appearances,Times upset in past 5 March appearances Squared,Regular season champs in past 5,Independent School once in past 5 seasons,Power School (Min 1 year in past 5 seasons),Power AQs in past 5,Number of Draft picks in past 5 season,20 Win Season Past 5 Seasons,25 Win Season Past 5 Seasons,30 Win Season Past 5 Seasons
Arkansas,2026,70.938,70.938,,,,,0.833333333333333,0.611,0.485,0.611,0.757,0.781,1,4,16,0,1,0.649,3,0,3,4,4,1,1,1,Ten Seed,Missed,Eight Seed,Four Seed,Three Seed,1,11,-2,11,12,12,1,1,10,4,3.16227766016838,2,4,16,0,0,0,0,1,0,6,4,2,0
Arkansas Pine Bluff,2026,6.35,6.35,,,,,0,0.226,0.419,0.323,0.226,0.16,0,0,0,0,0,0.2708,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas St.,2026,31.408,31.408,,,,,0.5,0.694,0.541,0.394,0.621,0.458,2,3,9,3,0,0.5416,0,0,0,0,0,2,2,1,NIT,CBI,Missed,Missed,Missed,0,9,8.5,-2,-2,-2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
Army,2026,17.727,17.727,,,,,0.166666666666667,0.515,0.313,0.515,0.484,0.545,1,3,9,3,0,0.4744,0,0,0,0,0,0,0,1,CBI,Missed,Missed,Missed,CBI,0,8.5,-2,-2,-2,8.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn,2026,75.482,75.482,,,,,0.8,0.842,0.771,0.618,0.813,0.481,4,4,16,0,1,0.705,5,1,2,2,0,1,3,0,One Seed,Four Seed,Nine Seed,Two Seed,Missed,1,13,12,11,12,-2,0,0,6,4,2.44948974278318,2,1,1,2,4,2,0,1,1,6,4,4,1
Austin Peay,2026,16.897,16.897,,,,,0.5,0.424,0.543,0.29,0.414,0.519,0,2,4,2,0,0.438,0,0,0,0,0,1,2,0,Missed,CIT,Missed,Missed,Missed,0,-2,7,-2,-2,-2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ball St.,2026,8.773,8.773,,,,,0.5,0.452,0.484,0.625,0.452,0.435,0,1,1,1,0,0.4896,0,0,0,0,0,0,0,0,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Baylor,2026,66.073,66.073,,,,,1,0.571,0.686,0.676,0.794,0.933,5,5,25,0,0,0.732,2,2,2,2,6,1,1,0,Nine Seed,Three Seed,Three Seed,One Seed,One Seed,0,11,12,12,13,13,0,0,10,4,3.16227766016838,2,1,1,3,9,2,0,1,0,8,5,2,0
Bellarmine,2026,11.536,11.536,,,,,0.2,0.161,0.258,0.455,0.606,0.636,0,2,4,2,0,0.4232,0,0,0,0,0,0,0,1,Missed,Ineligible,Ineligible,Ineligible - AQ,Ineligible - CBI,0,-2,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Belmont,2026,21.527,21.527,,,,,1,0.667,0.606,0.656,0.758,0.867,5,5,25,5,0,0.7108,0,0,0,0,0,0,0,0,Missed,Missed,Missed,NIT,Missed,0,-2,-2,-2,9,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,2,0
