,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Tom Mark,Cal St. Bakersfield,HOME,Western Illinois,Ohio Valley,0,0,Starter,1,26,4,10,2,4,0,0,4,4,2,1,0,4,10,0,11.267,0,8.446,1,0,0,0,0,0,0,0,0,0,0,1,1,0,16,-6.5,0,0,394,0,TRUE,1,26,4,10,2,4,0,0,4,4,2,1,0,4,10,Tom Mark
,Tom Mark,Cal St. Bakersfield,HOME,Mississippi Valley St.,SWAC,0,0,Starter,1,10,0,2,0,1,0,0,0,0,1,0,1,4,0,0,4.374,0,8.446,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,-22.5,0,0,309,0,TRUE,1,10,0,2,0,1,0,0,0,0,1,0,1,4,0,Tom Mark
Cal St. Fullerton,,,,,,,,,30,1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,24,990,152,346,32,114,100,137,45,106,70,29,43,96,436,8
,Bailey Nunn,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Starter,1,23,1,4,1,4,0,0,0,1,2,0,3,4,3,0,13.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-10,15.5,1,0,"3,211",0,FALSE, , , , , , , , , , , , , , , , 
,Bailey Nunn,Cal St. Fullerton,AWAY,California,ACC,0,0,Starter,1,24,0,1,0,0,2,2,5,0,2,0,0,1,2,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-28,22.5,0,0,"2,377",0,FALSE, , , , , , , , , , , , , , , , 
,Bailey Nunn,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Starter,1,9,0,2,0,2,0,0,0,0,0,1,0,0,0,0,5.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,6.5,0,0,459,0,FALSE, , , , , , , , , , , , , , , , 
,Bryce Cofield,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Starter,1,23,5,10,0,3,1,5,0,4,6,1,2,1,11,0,10.328,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-18,5.5,0,0,"1,118",0,TRUE,1,23,5,10,0,3,1,5,0,4,6,1,2,1,11,Bryce Cofield
,Bryce Cofield,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Starter,1,18,5,9,3,6,0,0,0,3,3,1,1,4,13,0,23.019,0,13.845,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,12.5,1,0,450,0,TRUE,1,18,5,9,3,6,0,0,0,3,3,1,1,4,13,Bryce Cofield
,Bryce Cofield,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Starter,1,32,9,21,0,4,9,11,3,4,3,1,1,2,27,0,33.215,0,13.845,1,0,0,0,0,0,0,0,1,0,0,0,1,1,-4,9.5,1,0,0,0,TRUE,1,32,9,21,0,4,9,11,3,4,3,1,1,2,27,Bryce Cofield
,Bryce Cofield,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Bench,0,14,7,12,0,1,7,10,3,2,0,0,1,4,21,0,13.636,0,13.845,1,0,0,0,0,0,1,0,1,0,0,1,0,1,-10,15.5,1,0,"3,211",0,TRUE,0,14,7,12,0,1,7,10,3,2,0,0,1,4,21,Bryce Cofield
,Bryce Cofield,Cal St. Fullerton,AWAY,California,ACC,0,0,Bench,0,13,0,0,0,0,1,4,3,1,2,0,0,3,1,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,22.5,0,0,"2,377",0,TRUE,0,13,0,0,0,0,1,4,3,1,2,0,0,3,1,Bryce Cofield
,Bryce Cofield,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Bench,0,24,6,15,1,2,5,8,3,2,0,1,1,3,18,0,5.636,0,13.845,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-12,6.5,0,0,459,0,TRUE,0,24,6,15,1,2,5,8,3,2,0,1,1,3,18,Bryce Cofield
,Christian Williams,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Starter,1,34,3,5,3,5,0,0,0,0,4,2,1,2,9,0,10.328,0,13.845,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-18,5.5,0,0,"1,118",0,TRUE,1,34,3,5,3,5,0,0,0,0,4,2,1,2,9,Christian Williams
,Christian Williams,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Starter,1,35,3,9,2,6,2,2,1,8,4,2,3,1,10,0,23.019,0,13.845,1,0,0,0,0,0,0,1,0,1,0,0,1,0,8,12.5,1,0,450,0,TRUE,1,35,3,9,2,6,2,2,1,8,4,2,3,1,10,Christian Williams
,Christian Williams,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Starter,1,27,0,5,0,3,2,2,0,9,1,0,0,5,2,0,33.215,0,13.845,0,0,0,1,0,0,0,1,0,0,0,1,1,0,-4,9.5,1,0,0,0,TRUE,1,27,0,5,0,3,2,2,0,9,1,0,0,5,2,Christian Williams
,Christian Williams,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Bench,0,10,0,0,0,0,0,0,0,2,0,1,0,3,0,0,13.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,15.5,1,0,"3,211",0,TRUE,0,10,0,0,0,0,0,0,0,2,0,1,0,3,0,Christian Williams
,Christian Williams,Cal St. Fullerton,AWAY,California,ACC,0,0,Bench,0,15,1,5,0,4,0,0,0,2,0,1,0,1,2,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,22.5,0,0,"2,377",0,TRUE,0,15,1,5,0,4,0,0,0,2,0,1,0,1,2,Christian Williams
,Christian Williams,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Bench,0,21,2,4,0,1,2,2,0,4,2,0,2,3,6,0,5.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,6.5,0,0,459,0,TRUE,0,21,2,4,0,1,2,2,0,4,2,0,2,3,6,Christian Williams
,Davis White,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Starter,1,18,1,3,0,2,0,0,0,1,0,1,1,1,2,0,13.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,15.5,1,0,"3,211",0,FALSE, , , , , , , , , , , , , , , , 
,Davis White,Cal St. Fullerton,AWAY,California,ACC,0,0,Starter,1,19,1,6,1,5,0,0,1,2,3,0,0,1,3,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,22.5,0,0,"2,377",0,FALSE, , , , , , , , , , , , , , , , 
,Davis White,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Starter,1,11,0,2,0,1,0,0,0,0,0,0,0,2,0,0,5.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,6.5,0,0,459,0,FALSE, , , , , , , , , , , , , , , , 
,Davis White,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Bench,0,7,1,2,1,2,0,0,0,1,0,0,1,0,3,0,10.328,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,5.5,0,0,"1,118",0,FALSE, , , , , , , , , , , , , , , , 
,Davis White,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Bench,0,9,1,2,1,2,0,0,0,0,0,0,0,4,3,0,23.019,0,13.845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,12.5,1,0,450,0,FALSE, , , , , , , , , , , , , , , , 
,Davis White,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Bench,0,9,1,2,1,2,0,0,1,1,1,0,0,2,3,0,33.215,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,9.5,1,0,0,0,FALSE, , , , , , , , , , , , , , , , 
,Jaden Henderson,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Bench,0,31,4,10,0,2,1,2,0,4,1,3,2,4,9,0,13.636,0,13.845,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-10,15.5,1,0,"3,211",0,TRUE,0,31,4,10,0,2,1,2,0,4,1,3,2,4,9,Jaden Henderson
,Jaden Henderson,Cal St. Fullerton,AWAY,California,ACC,0,0,Bench,0,13,2,7,0,1,0,0,2,0,2,0,0,1,4,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,22.5,0,0,"2,377",0,TRUE,0,13,2,7,0,1,0,0,2,0,2,0,0,1,4,Jaden Henderson
,Jaden Henderson,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Bench,0,26,5,12,3,6,2,2,0,1,8,0,2,0,15,0,10.328,0,13.845,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-18,5.5,0,0,"1,118",0,TRUE,0,26,5,12,3,6,2,2,0,1,8,0,2,0,15,Jaden Henderson
,Jaden Henderson,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Bench,0,24,3,10,1,3,5,6,1,2,2,1,1,0,12,0,5.636,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,6.5,0,0,459,0,TRUE,0,24,3,10,1,3,5,6,1,2,2,1,1,0,12,Jaden Henderson
,Jaden Henderson,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Bench,0,19,1,5,0,2,0,0,1,3,1,1,1,1,2,0,23.019,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.5,1,0,450,0,TRUE,0,19,1,5,0,2,0,0,1,3,1,1,1,1,2,Jaden Henderson
,Jaden Henderson,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Bench,0,16,1,3,0,1,0,0,1,1,0,0,0,3,2,0,33.215,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,9.5,1,0,0,0,TRUE,0,16,1,3,0,1,0,0,1,1,0,0,0,3,2,Jaden Henderson
,Jefferson De La Cruz Monegro,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Starter,1,32,5,9,2,4,9,10,2,3,1,1,1,3,21,0,13.636,0,13.845,1,0,0,0,0,0,1,0,0,0,0,0,1,1,-10,15.5,1,0,"3,211",0,TRUE,1,32,5,9,2,4,9,10,2,3,1,1,1,3,21,Jefferson De La Cruz Monegro
,Jefferson De La Cruz Monegro,Cal St. Fullerton,AWAY,California,ACC,0,0,Starter,1,29,3,13,1,5,0,0,1,0,3,0,0,4,7,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-28,22.5,0,0,"2,377",0,TRUE,1,29,3,13,1,5,0,0,1,0,3,0,0,4,7,Jefferson De La Cruz Monegro
,Jefferson De La Cruz Monegro,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Starter,1,22,4,9,1,4,1,1,0,0,0,0,1,3,10,0,10.328,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-18,5.5,0,0,"1,118",0,TRUE,1,22,4,9,1,4,1,1,0,0,0,0,1,3,10,Jefferson De La Cruz Monegro
,Jefferson De La Cruz Monegro,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Starter,1,24,3,6,1,4,3,3,0,1,0,1,1,1,10,0,5.636,0,13.845,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-12,6.5,0,0,459,0,TRUE,1,24,3,6,1,4,3,3,0,1,0,1,1,1,10,Jefferson De La Cruz Monegro
,Jefferson De La Cruz Monegro,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Starter,1,33,4,9,2,5,2,2,0,4,2,0,1,4,12,0,23.019,0,13.845,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,12.5,1,0,450,0,TRUE,1,33,4,9,2,5,2,2,0,4,2,0,1,4,12,Jefferson De La Cruz Monegro
,Jefferson De La Cruz Monegro,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Starter,1,34,5,10,0,2,2,3,1,1,1,1,1,4,12,0,33.215,0,13.845,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-4,9.5,1,0,0,0,TRUE,1,34,5,10,0,2,2,3,1,1,1,1,1,4,12,Jefferson De La Cruz Monegro
,Joshua Ward,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Starter,1,27,2,4,0,1,5,8,1,8,1,0,1,5,9,0,13.636,0,13.845,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-10,15.5,1,0,"3,211",0,TRUE,1,27,2,4,0,1,5,8,1,8,1,0,1,5,9,Joshua Ward
,Joshua Ward,Cal St. Fullerton,AWAY,California,ACC,0,0,Starter,1,31,5,11,1,5,1,2,7,1,2,0,1,1,12,0,-19.144,0,13.845,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-28,22.5,0,0,"2,377",0,TRUE,1,31,5,11,1,5,1,2,7,1,2,0,1,1,12,Joshua Ward
,Joshua Ward,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Starter,1,26,5,11,3,5,4,6,0,1,0,1,3,4,17,0,10.328,0,13.845,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-18,5.5,0,0,"1,118",0,TRUE,1,26,5,11,3,5,4,6,0,1,0,1,3,4,17,Joshua Ward
,Joshua Ward,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Starter,1,30,4,12,1,7,1,1,1,3,2,2,0,2,10,0,5.636,0,13.845,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-12,6.5,0,0,459,0,TRUE,1,30,4,12,1,7,1,1,1,3,2,2,0,2,10,Joshua Ward
,Joshua Ward,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Starter,1,34,5,12,0,4,10,10,0,4,6,2,2,1,20,0,23.019,0,13.845,1,0,0,0,0,1,0,0,0,1,1,0,1,1,8,12.5,1,0,450,0,TRUE,1,34,5,12,0,4,10,10,0,4,6,2,2,1,20,Joshua Ward
,Joshua Ward,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Starter,1,38,11,17,4,8,5,5,1,4,2,2,2,4,31,0,33.215,0,13.845,1,0,0,0,0,1,0,0,0,1,0,1,1,1,-4,9.5,1,0,0,0,TRUE,1,38,11,17,4,8,5,5,1,4,2,2,2,4,31,Joshua Ward
,Kendrick De Luna,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Starter,1,19,1,7,0,0,3,5,1,5,0,0,2,0,5,0,13.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,15.5,1,0,"3,211",0,TRUE,1,19,1,7,0,0,3,5,1,5,0,0,2,0,5,Kendrick De Luna
,Kendrick De Luna,Cal St. Fullerton,AWAY,California,ACC,0,0,Starter,1,13,4,5,0,0,0,0,2,1,1,0,0,2,8,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,22.5,0,0,"2,377",0,TRUE,1,13,4,5,0,0,0,0,2,1,1,0,0,2,8,Kendrick De Luna
,Kendrick De Luna,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Starter,1,13,1,1,0,0,1,2,0,3,0,1,2,3,3,0,10.328,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,5.5,0,0,"1,118",0,TRUE,1,13,1,1,0,0,1,2,0,3,0,1,2,3,3,Kendrick De Luna
,Kendrick De Luna,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Starter,1,22,1,6,0,0,0,0,1,0,1,1,0,2,2,0,5.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,6.5,0,0,459,0,TRUE,1,22,1,6,0,0,0,0,1,0,1,1,0,2,2,Kendrick De Luna
,Kendrick De Luna,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Starter,1,18,1,1,0,0,2,2,1,2,1,0,0,1,4,0,23.019,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.5,1,0,450,0,TRUE,1,18,1,1,0,0,2,2,1,2,1,0,0,1,4,Kendrick De Luna
,Kendrick De Luna,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Starter,1,11,1,1,0,0,1,2,0,1,2,0,0,3,3,0,33.215,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,9.5,1,0,0,0,TRUE,1,11,1,1,0,0,1,2,0,1,2,0,0,3,3,Kendrick De Luna
,KJ Garris,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Bench,0,5,0,1,0,1,0,0,0,0,0,0,2,2,0,0,13.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,15.5,1,0,"3,211",0,FALSE, , , , , , , , , , , , , , , , 
,KJ Garris,Cal St. Fullerton,AWAY,California,ACC,0,0,Bench,0,16,2,7,2,6,0,0,4,0,1,0,0,1,6,0,-19.144,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,22.5,0,0,"2,377",0,FALSE, , , , , , , , , , , , , , , , 
,KJ Garris,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Bench,0,20,1,4,0,3,0,0,0,4,2,1,1,1,2,0,10.328,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-18,5.5,0,0,"1,118",0,FALSE, , , , , , , , , , , , , , , , 
,KJ Garris,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Bench,0,15,3,6,2,3,1,1,1,5,2,0,0,2,9,0,5.636,0,13.845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-12,6.5,0,0,459,0,FALSE, , , , , , , , , , , , , , , , 
,KJ Garris,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Bench,0,13,4,6,1,3,3,3,0,3,1,0,0,2,12,0,23.019,0,13.845,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8,12.5,1,0,450,0,FALSE, , , , , , , , , , , , , , , , 
,KJ Garris,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Bench,0,6,0,2,0,0,2,7,2,1,0,0,0,0,2,0,33.215,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,9.5,1,0,0,0,FALSE, , , , , , , , , , , , , , , , 
,Landon Seaman,Cal St. Fullerton,AWAY,Wyoming,Mountain West,0,0,Bench,0,21,3,5,0,1,6,8,0,2,2,1,2,1,12,0,13.636,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,15.5,1,0,"3,211",0,TRUE,0,21,3,5,0,1,6,8,0,2,2,1,2,1,12,Landon Seaman
,Landon Seaman,Cal St. Fullerton,AWAY,California,ACC,0,0,Bench,0,26,9,14,1,3,1,3,4,1,0,0,2,2,20,0,-19.144,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-28,22.5,0,0,"2,377",0,TRUE,0,26,9,14,1,3,1,3,4,1,0,0,2,2,20,Landon Seaman
,Landon Seaman,Cal St. Fullerton,AWAY,Portland,WCC,0,0,Bench,0,24,7,13,1,2,0,0,0,3,2,0,0,1,15,0,10.328,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-18,5.5,0,0,"1,118",0,TRUE,0,24,7,13,1,2,0,0,0,3,2,0,0,1,15,Landon Seaman
,Landon Seaman,Cal St. Fullerton,HOME,Pacific,WCC,0,0,Bench,0,20,3,11,0,2,0,1,2,2,1,1,1,1,6,0,5.636,0,13.845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,6.5,0,0,459,0,TRUE,0,20,3,11,0,2,0,1,2,2,1,1,1,1,6,Landon Seaman
,Landon Seaman,Cal St. Fullerton,NEUTRAL,St. Thomas,Summit,0,0,Bench,0,21,4,7,0,1,4,6,2,2,1,0,2,0,12,0,23.019,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,12.5,1,0,450,0,TRUE,0,21,4,7,0,1,4,6,2,2,1,0,2,0,12,Landon Seaman
,Landon Seaman,Cal St. Fullerton,NEUTRAL,Northern Colorado,Big Sky,0,0,Bench,0,27,4,10,1,1,2,3,0,2,0,0,0,3,11,0,33.215,0,13.845,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,9.5,1,0,0,0,TRUE,0,27,4,10,1,1,2,3,0,2,0,0,0,3,11,Landon Seaman
Cal St. Northridge,,,,,,,,,20,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,20,666,94,201,23,59,56,79,79,69,48,18,49,55,267,8
,Aleks Szymczyk,Cal St. Northridge,AWAY,Northern Iowa,Missouri Valley,0,0,Bench,0,8,2,3,0,1,0,0,2,2,0,0,0,1,4,0,23.772,0,15.796,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-29,9.5,0,0,"3,173",0,FALSE, , , , , , , , , , , , , , , , 
,Aleks Szymczyk,Cal St. Northridge,AWAY,North Dakota,Summit,0,0,Bench,0,13,4,4,1,1,1,2,4,1,1,0,0,1,10,0,10.824,0,15.796,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,-6.5,1,0,"1,479",0,FALSE, , , , , , , , , , , , , , , , 
,Aleks Szymczyk,Cal St. Northridge,AWAY,North Dakota St.,Summit,0,0,Bench,0,23,3,4,0,0,0,1,2,6,1,0,2,1,6,0,12.565,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-22,4.5,0,0,1005,0,FALSE, , , , , , , , , , , , , , , , 
,Aleks Szymczyk,Cal St. Northridge,HOME,Troy,Sun Belt,0,0,Bench,0,11,3,4,0,0,0,2,2,0,1,0,0,3,6,0,34.931,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.5,1,0,659,0,FALSE, , , , , , , , , , , , , , , , 
,Davius Loury,Cal St. Northridge,AWAY,Northern Iowa,Missouri Valley,0,0,Starter,1,25,0,4,0,3,0,0,0,2,0,0,1,0,0,0,23.772,0,15.796,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-29,9.5,0,0,"3,173",0,TRUE,1,25,0,4,0,3,0,0,0,2,0,0,1,0,0,Davius Loury
,Davius Loury,Cal St. Northridge,HOME,Troy,Sun Belt,0,0,Starter,1,19,3,7,1,4,0,0,1,1,1,1,0,3,7,0,34.931,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.5,1,0,659,0,TRUE,1,19,3,7,1,4,0,0,1,1,1,1,0,3,7,Davius Loury
,Davius Loury,Cal St. Northridge,AWAY,North Dakota St.,Summit,0,0,Bench,0,16,2,6,0,2,0,0,1,1,0,1,2,5,4,0,12.565,0,15.796,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-22,4.5,0,0,1005,0,TRUE,0,16,2,6,0,2,0,0,1,1,0,1,2,5,4,Davius Loury
,Grady Lewis,Cal St. Northridge,AWAY,North Dakota,Summit,0,0,Starter,1,16,2,3,0,0,0,0,4,3,5,0,0,3,4,0,10.824,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-6.5,1,0,"1,479",0,TRUE,1,16,2,3,0,0,0,0,4,3,5,0,0,3,4,Grady Lewis
,Grady Lewis,Cal St. Northridge,AWAY,North Dakota St.,Summit,0,0,Starter,1,10,1,5,0,0,0,0,3,1,0,0,1,3,2,0,12.565,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,4.5,0,0,1005,0,TRUE,1,10,1,5,0,0,0,0,3,1,0,0,1,3,2,Grady Lewis
,Grady Lewis,Cal St. Northridge,AWAY,Northern Iowa,Missouri Valley,0,0,Bench,0,12,2,4,0,0,1,2,2,3,0,0,0,3,5,0,23.772,0,15.796,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-29,9.5,0,0,"3,173",0,TRUE,0,12,2,4,0,0,1,2,2,3,0,0,0,3,5,Grady Lewis
,Jai Chisolm,Cal St. Northridge,AWAY,Northern Iowa,Missouri Valley,0,0,Bench,0,15,0,2,0,2,0,0,0,0,0,0,1,2,0,0,23.772,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,9.5,0,0,"3,173",0,FALSE, , , , , , , , , , , , , , , , 
,Jai Chisolm,Cal St. Northridge,AWAY,North Dakota,Summit,0,0,Bench,0,11,1,5,0,4,0,0,0,2,1,1,0,2,2,0,10.824,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-6.5,1,0,"1,479",0,FALSE, , , , , , , , , , , , , , , , 
,Jai Chisolm,Cal St. Northridge,AWAY,North Dakota St.,Summit,0,0,Bench,0,7,0,2,0,2,0,0,2,2,0,0,2,0,0,0,12.565,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,4.5,0,0,1005,0,FALSE, , , , , , , , , , , , , , , , 
,James Evans Jr.,Cal St. Northridge,AWAY,Northern Iowa,Missouri Valley,0,0,Bench,0,7,0,4,0,2,0,0,0,1,0,0,1,1,0,0,23.772,0,15.796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-29,9.5,0,0,"3,173",0,FALSE, , , , , , , , , , , , , , , , 
,James Evans Jr.,Cal St. Northridge,AWAY,North Dakota St.,Summit,0,0,Bench,0,8,1,5,0,1,1,2,0,0,2,0,1,0,3,0,12.565,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,4.5,0,0,1005,0,FALSE, , , , , , , , , , , , , , , , 
,James Evans Jr.,Cal St. Northridge,HOME,Troy,Sun Belt,0,0,Bench,0,19,5,8,1,4,0,0,2,1,0,1,0,3,11,0,34.931,0,15.796,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,4.5,1,0,659,0,FALSE, , , , , , , , , , , , , , , , 
,Jordan Brinson,Cal St. Northridge,AWAY,Northern Iowa,Missouri Valley,0,0,Bench,0,10,0,0,0,0,4,4,0,1,1,0,0,0,4,0,23.772,0,15.796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-29,9.5,0,0,"3,173",0,TRUE,0,10,0,0,0,0,4,4,0,1,1,0,0,0,4,Jordan Brinson
,Jordan Brinson,Cal St. Northridge,AWAY,North Dakota,Summit,0,0,Bench,0,27,1,3,1,3,1,2,0,2,3,0,5,2,4,0,10.824,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,-6.5,1,0,"1,479",0,TRUE,0,27,1,3,1,3,1,2,0,2,3,0,5,2,4,Jordan Brinson
,Jordan Brinson,Cal St. Northridge,AWAY,North Dakota St.,Summit,0,0,Bench,0,11,1,2,1,2,1,2,2,2,1,0,1,0,4,0,12.565,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,4.5,0,0,1005,0,TRUE,0,11,1,2,1,2,1,2,2,2,1,0,1,0,4,Jordan Brinson
,Jordan Brinson,Cal St. Northridge,HOME,Troy,Sun Belt,0,0,Bench,0,21,2,4,0,2,0,0,2,3,0,0,0,2,4,0,34.931,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,4.5,1,0,659,0,TRUE,0,21,2,4,0,2,0,0,2,3,0,0,0,2,4,Jordan Brinson
