,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Joseph Venzant,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Starter,1,23,0,0,0,0,0,0,1,2,1,1,1,4,0,0,15.861,0,28.974,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-10,6.5,1,0,0,0,TRUE,1,23,0,0,0,0,0,0,1,2,1,1,1,4,0,Joseph Venzant
,Joseph Venzant,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Starter,1,26,4,1,3,1,2,1,1,0,2,1,0,1,13,0,20.683,0,28.974,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-14,1.5,0,0,"1,215",0,TRUE,1,26,4,1,3,1,2,1,1,0,2,1,0,1,13,Joseph Venzant
,Joseph Venzant,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Starter,1,30,0,1,0,1,0,0,2,0,0,1,2,1,0,0,27.277,0,28.974,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,-4.5,1,0,"1,025",0,TRUE,1,30,0,1,0,1,0,0,2,0,0,1,2,1,0,Joseph Venzant
,Ma’Shy Hill,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Starter,1,15,3,7,0,0,1,2,1,2,0,2,0,2,7,0,15.861,0,28.974,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-10,6.5,1,0,0,0,TRUE,1,15,3,7,0,0,1,2,1,2,0,2,0,2,7,Ma’Shy Hill
,Ma’Shy Hill,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Bench,0,9,2,1,4,0,0,0,0,0,0,1,0,0,8,0,20.683,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,1.5,0,0,"1,215",0,TRUE,0,9,2,1,4,0,0,0,0,0,0,1,0,0,8,Ma’Shy Hill
,Ma’Shy Hill,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Bench,0,15,3,4,0,0,0,2,0,3,0,0,1,3,6,0,27.277,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4.5,1,0,"1,025",0,TRUE,0,15,3,4,0,0,0,2,0,3,0,0,1,3,6,Ma’Shy Hill
,Rich Smith,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Starter,1,34,2,6,0,0,6,6,1,5,2,1,3,4,10,0,15.861,0,28.974,1,0,0,0,0,1,0,0,0,0,0,1,1,0,-10,6.5,1,0,0,0,TRUE,1,34,2,6,0,0,6,6,1,5,2,1,3,4,10,Rich Smith
,Rich Smith,Abilene Christian,AWAY,Texas St.,Sun Belt,0,0,Starter,1,20,3,1,3,0,0,1,1,1,2,2,1,1,9,0,20.683,0,28.974,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-14,1.5,0,0,"1,215",0,TRUE,1,20,3,1,3,0,0,1,1,1,2,2,1,1,9,Rich Smith
,Rich Smith,Abilene Christian,HOME,Nebraska Omaha,Summit,0,0,Starter,1,26,2,4,1,2,1,2,2,1,2,2,3,2,6,0,27.277,0,28.974,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,-4.5,1,0,"1,025",0,TRUE,1,26,2,4,1,2,1,2,2,1,2,2,3,2,6,Rich Smith
,Yaniel Rivera,Abilene Christian,AWAY,Stephen F. Austin,Southland,0,0,Starter,1,27,5,9,2,4,7,7,0,2,1,0,0,1,19,0,15.861,0,28.974,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-10,6.5,1,0,0,0,TRUE,1,27,5,9,2,4,7,7,0,2,1,0,0,1,19,Yaniel Rivera
