,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,NCON MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won at least 20,Opponent Lost at least 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,(SM+Line),(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game ,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Single digit expectation,Line set over 20,Over/Under Line,Total Points,Player Points given up,Opp Coach Value,Opp Historical Value,Standard Point,Game Coding,Game Coding next season?,Thoughts on score
Arizona St.,HOME,Big 12,Colorado,Big 12,"January 3, 2026","Tempe, AZ","7,377",0,0,0,0,0,0,1,10,3,0.769230769230769,0,0,-0.076923076923077,-0.00591715976331362,1,-6,-1.5,-56.25,6.25,0,3,14,42,1,0,1,0,0,0,0,0,0,0,1,0,157.5,184,0,52.062101455478,5.994,1,112,11112,0
Colorado,AWAY,Big 12,Arizona St.,Big 12,"January 3, 2026","Tempe, AZ","7,377",0,0,1,0,0,0,1,9,4,0.692307692307692,0,0,0.076923076923077,0.00591715976331362,-1,6,1.5,56.25,306.25,1,14,3,42,0,1,1,1,0,0,0,0,1,0,1,0,157.5,184,0,59.4483926637133,56.291,1,212,11212,0
