Teams,Coach Name,Conference,,Wins,Losses,Games Dropping D2,WIN_PERC,Championship Criteria,Upset Twice,Winless March,Points,Points_RANK,SM,FGM,FGA,FGA/G,FG_PERC,FG_PERC_Rank,FGM/G,FGM/G_Rank,FG3sM,FG3sA,FG3_PERC,FG3_PERC_Rank,FG3M/G,FG3M/G_Rank,% of Points from 3,% of Points from 3_RANK,% of shots taken from 3,% of shots taken from 3_RANK,FTM,FTA,FT_PERC,FT_PERC_Rank,FTM/G,FTM/G_RANK,FTA/FGA,FTA/FGA Rank,Off_eff,Off_eff_rank,Offensive efficiency hybrid,Off_eff_hybrid_rank,OReb,OReb Rank,OReb chances,OReb chances Rank,DReb,DReb Rank,Rebounds,Rebounds Rank,Rebound Rate,Rebound Rate Rank,AST,AST Rank,AST/FGM,AST/FGM Rank,TO,TO Rank,STL,STL Rank,PF,PF_Rank,Foul Differential,Foul Differential Rank,Extra Scoring Chances,Extra Scoring Chances Rank,PTS_OFF_TURN,PTS_OFF_TURN_RANK,FST_BREAK,FST_BREAK_RANK,PTS_PAINT,PTS_PAINT_RANK,OPP_PPG,OPP_PPG_RANK,OPP_FGM,OPP_FGA,OPP_FGA/G,OPP_FG_PERC,OPP_FG_PERC_Rank,OPP_FGM/G,OPP_FGM/G_Rank,OPP_FG3sM,OPP_FG3sA,OPP_FG3_PERC,OPP_FG3_PERC_Rank,OPP_FG3M/G,OPP_FG3M/G_Rank,OPP_% of Points from 3,OPP_% of Points from 3 rank,OPP_% of shots taken from 3,OPP_% of shots taken from 3 Rank,Def_efficiency hybrid,Def_eff_hybrid_rank,OPP_OReb,OPP_OReb_RANK,OPP_OReb_rate,OPP_OReb_rate_rank,OPP_DReb,OPP_DReb_RANK,OPP_REBOUNDS,OPP_REBOUNDS_RANK,OPP_AST,OPP_AST_RANK,OPP_AST/FGM,OPP_AST/FGM_Rank,OPP_TO,OPP_TO_RANK,OPP_PF,OPP_PF_RANK,OPP_PTS_OFF_TURN,OPP_PTS_OFF_TURN_RANK,OPP_FST_BREAK,OPP_FST_BREAK_RANK,OPP_PTS_PAINT,OPP_PTS_PAINT_RANK,FGM_TOP7,FGA-Top7,FG3sM-Top7,FG3sA-Top7,FTM-Top7,FTA-Top7,FG_PERC-Top7,FG3_PERC-Top7,FT_PERC-Top7,OReb-Top7,DReb-Top7,Rebounds-Top7,AST-Top7,TO-Top7,STL-Top7,OReb-Top7-Total,DReb-Top7-Total,AST-Top7-Total,TO-Top7-Total,STL-Top7-Total,Points per Game-Top7,FGM-Top7-Perc,FGA-Top7-Perc,FG3sM-Top7-Perc,FG3sA-Top7-Perc,FTM-Top7-Perc,FTA-Top7-Perc,FG_PERC_Top7_per,FG3_PERC_Top7_per,FT_PERC_Top7_per,OReb-Top7-Perc,DReb-Top7-Perc,Rebounds-Top7-Perc,AST-Top7-Perc,TO-Top7-Perc,STL-Top7-Perc,Points-Top7-Perc,Start Percentage top 7,SOS_MED,SOS_MIN,SOS_MAX,SOS_STDEV,SOS_SUM,CLUTCH_FGM,CLUTCH_FGA,CLUTCH_FGPERC,CLUTCH_FG_RANK,CLUTCH_3FGM,CLUTCH_3FGA,CLUTCH_3FGPERC,CLUTCH_3_RANK,CLUTCH_FTM,CLUTCH_FTA,CLUTCH_FTPERC,CLUTCH_FT_RANK,CLUTCH_SM,CLUTCH_SM_RANK,CLUTCH_REB,CLUTCH_REB_RANK,OPP_CLTCH_REB,OPP_CLTCH_REB_RANK,CLTCH_OFF_REB,CLTCH_OFF_REB_RANK,OPP_CLTCH_OFF_REB,OPP_CLTCH_OFF_REB_RANK,CLTCH_TURN,CLTCH_TURN_RANK,CLTCH_OPP_TURN,CLTCH_OPP_TURN_RANK,CLTCH_STL,CLTCH_STL_RANK,TOP25_CLUTCH,OVERTIME_GAMES,STEAL_TURNOVER_RATIO,STEAL_TURNOVER_RATIO_RANK,Culture (coach record at school),Culture_rank,Coach Value,Coach Value Rank,Historical Value,Historical Value Rank,5 Year coach gap,5 Year coach gap rank,Average Ranking,Statistical Strength 
Georgetown,Ed Cooley,Big East,,2,0,2,1,6,0,1,78.5,N/A,13.5,49,118,59,0.415254237288136,N/A,24.5,N/A,9,46,0.195652173913043,N/A,4.5,N/A,0.171974522292994,N/A,0.389830508474576,N/A,50,70,0.714285714285714,N/A,25,N/A,0.593220338983051,N/A,118.045112781955,N/A,0.963963963963964,N/A,12.5,N/A,0.316455696202532,N/A,28,N/A,40.5,N/A,0.512658227848101,N/A,13,N/A,0.530612244897959,N/A,9,N/A,8.5,N/A,21,N/A,2.5,N/A,6.5,N/A,21,N/A,21.5,N/A,34,N/A,65,N/A,36,110,55,0.327272727272727,N/A,18,N/A,11,39,0.282051282051282,N/A,5.5,N/A,0.253846153846154,N/A,0.354545454545455,N/A,1.58095238095238,N/A,11.5,N/A,0.291139240506329,N/A,27,N/A,38.5,N/A,6,N/A,0.333333333333333,N/A,14.5,N/A,23.5,N/A,8.5,N/A,7.5,N/A,19,N/A,42,93,7,30,40,54,0.451612903225806,0.233333333333333,0.740740740740741,9.5,19.5,29,9.5,6,5.5,19,39,19,12,11,65.5,0.8571,0.7881,0.7778,0.6522,0.8,0.7714,1.0876,1.1926,1.037,0.76,0.6964,0.716,0.7308,0.6667,0.6471,0.8344,1,18.6344931757049,-39.6405122261421,76.9094985775519,82.4133029866574,37.2689863514098,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.4265,267,52.2584437003925,105,-0.594,358,0,88,243.333333333333,300
Georgia,Mike White,SEC,,2,0,2,1,23,0,1,99,N/A,55,69,146,73,0.472602739726027,N/A,34.5,N/A,17,69,0.246376811594203,N/A,8.5,N/A,0.257575757575758,N/A,0.472602739726027,N/A,43,50,0.86,N/A,21.5,N/A,0.342465753424658,N/A,134.767220255922,N/A,1.2109375,N/A,17,N/A,0.435897435897436,N/A,28.5,N/A,45.5,N/A,0.56875,N/A,14.5,N/A,0.420289855072464,N/A,8,N/A,17,N/A,10,N/A,6.5,N/A,23,N/A,32.5,N/A,31,N/A,52,N/A,44,N/A,34,112,56,0.303571428571429,N/A,17,N/A,9,46,0.195652173913043,N/A,4.5,N/A,0.306818181818182,N/A,0.410714285714286,N/A,1.49514563106796,N/A,12.5,N/A,0.304878048780488,N/A,22,N/A,34.5,N/A,10.5,N/A,0.617647058823529,N/A,26.5,N/A,16.5,N/A,6.5,N/A,3,N/A,24,N/A,53,117,13,58,29,31,0.452991452991453,0.224137931034483,0.935483870967742,11.5,16,27.5,11.5,4.5,11,23,32,23,9,22,74,0.7681,0.8014,0.7647,0.8406,0.6744,0.62,0.9585,0.9097,1.0878,0.6765,0.5614,0.6044,0.7931,0.5625,0.6471,0.7475,1,76.9580631758767,45.7590206555754,108.157105696178,44.122109065265,153.916126351753,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5577,129,78.8921172114086,52,16.086,198,0,88,126.333333333333,110
Georgia Southern,Charlie Henry,Sun Belt,,1,1,2,0.5,-13,0,1,91,N/A,0,60,131,65.5,0.458015267175573,N/A,30,N/A,16,44,0.363636363636364,N/A,8,N/A,0.263736263736264,N/A,0.33587786259542,N/A,46,69,0.666666666666667,N/A,23,N/A,0.526717557251908,N/A,122.77388019428,N/A,1.0625,N/A,13,N/A,0.317073170731707,N/A,21.5,N/A,34.5,N/A,0.453947368421053,N/A,11,N/A,0.366666666666667,N/A,11.5,N/A,10.5,N/A,21,N/A,1,N/A,3.5,N/A,20.5,N/A,12,N/A,41,N/A,91,N/A,64,126,63,0.507936507936508,N/A,32,N/A,8,33,0.242424242424242,N/A,4,N/A,0.131868131868132,N/A,0.261904761904762,N/A,2.22950819672131,N/A,13.5,N/A,0.385714285714286,N/A,28,N/A,41.5,N/A,14,N/A,0.4375,N/A,15.5,N/A,22,N/A,14.5,N/A,17.5,N/A,49,N/A,51,109,13,36,43,59,0.467889908256881,0.361111111111111,0.728813559322034,8,15.5,23.5,11,10.5,10,16,31,22,21,20,79,0.85,0.8321,0.8125,0.8182,0.9348,0.8551,1.0216,0.9931,1.0932,0.6154,0.7209,0.6812,1,0.913,0.9524,0.8681,1,3.863946395272,-6.456878031988,14.184770822532,14.5958498799026,7.727892790544,7,12,58.3333333333333,30,1,5,20,86,16,22,72.7272727272727,76,-0.5,306,2.5,121,6.5,38,1,70,3.5,348,3,332,4,349,3,6,0,0,1,20,0.3939,286,27.8821964518,208,12.459,241,0,88,178.357142857143,225
Georgia St.,Jonas Hayes,Sun Belt,,0,2,2,0,-13,0,1,56.5,N/A,-16,38,115,57.5,0.330434782608696,N/A,19,N/A,13,43,0.302325581395349,N/A,6.5,N/A,0.345132743362832,N/A,0.373913043478261,N/A,24,30,0.8,N/A,12,N/A,0.260869565217391,N/A,81.5531177829099,N/A,0.6953125,N/A,10.5,N/A,0.269230769230769,N/A,26,N/A,36.5,N/A,0.439759036144578,N/A,11.5,N/A,0.605263157894737,N/A,17,N/A,8.5,N/A,13,N/A,4.5,N/A,-10,N/A,8.5,N/A,6.5,N/A,14,N/A,72.5,N/A,56,135,67.5,0.414814814814815,N/A,28,N/A,10,42,0.238095238095238,N/A,5,N/A,0.206896551724138,N/A,0.311111111111111,N/A,1.83458646616541,N/A,18,N/A,0.409090909090909,N/A,28.5,N/A,46.5,N/A,13.5,N/A,0.482142857142857,N/A,14.5,N/A,17.5,N/A,22.5,N/A,15.5,N/A,45,N/A,34,97,11,37,22,27,0.350515463917526,0.297297297297297,0.814814814814815,8,19.5,27.5,9.5,13,7,16,39,19,26,14,50.5,0.8947,0.8435,0.8462,0.8605,0.9167,0.9,1.0608,0.9834,1.0185,0.7619,0.75,0.7534,0.8261,0.7647,0.8235,0.8938,1,34.261073965402,-25.778106381516,94.30025431232,84.9082231203756,68.522147930804,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3918,292,9.0664366156,308,14.55,213,0,88,271,330
Georgia Tech,Damon Stoudamire,ACC,,3,0,3,1,-6,0,1,66.6666666666667,262,14.3333333333334,73,174,58,0.419540229885057,218,24.3333333333333,225,20,64,0.3125,191,6.66666666666667,226,0.3,173,0.367816091954023,226,34,54,0.62962962962963,286,11.3333333333333,272,0.310344827586207,235,96.6370313103983,274,0.864583333333333,263,9.33333333333333,257,0.259259259259259,258,31.3333333333333,32,40.6666666666666,84,0.530434782608695,114,14.6666666666667,141,0.602739726027399,88,15.3333333333333,277,10.6666666666667,31,16,92,3.3333333333333,89,3,121,18.6666666666667,87,8,226,32.6666666666667,167,52.3333333333333,20,55,176,58.6666666666667,0.3125,21,18.3333333333333,97,18,86,0.209302325581395,41,6,141,0.343949044585987,285,0.488636363636364,319,1.97938144329897,206,9.33333333333333,106,0.229508196721312,64,26.6666666666667,235,36,165,12,125,0.654545454545456,253,18.3333333333333,31,19.3333333333333,148,9,64,4.33333333333333,48,19.3333333333333,24,64,144,18,50,29,47,0.444444444444444,0.36,0.617021276595745,13.6666666666667,15,28.6666666666667,10,10.3333333333333,7.66666666666667,41,45,30,31,23,58.3333333333333,0.8767,0.8276,0.9,0.7813,0.8529,0.8704,1.0594,1.152,0.98,1.4643,0.4787,0.7049,0.6818,0.6739,0.7187,0.875,0.933333333333333,-28.57831667877,-52.622779692628,34.943717913422,45.2420832546918,-46.257378457976,5,15,33.3333333333333,96,2,7,28.5714285714286,76,6,10,60,97,5,21,12,2,9,9,6,2,3,328,2,304,3,334,2,12,0,1,1,20,0.4928,213,19.6617729038,254,2.467,351,0,88,156.40350877193,187
Gonzaga,Mark Few,WCC,,2,0,2,1,39,1,0,90.5,N/A,35,73,148,74,0.493243243243243,N/A,36.5,N/A,13,44,0.295454545454545,N/A,6.5,N/A,0.215469613259669,N/A,0.297297297297297,N/A,22,32,0.6875,N/A,11,N/A,0.216216216216216,N/A,128.660790446403,N/A,1.21374045801527,N/A,18.5,N/A,0.44578313253012,N/A,32.5,N/A,51,N/A,0.607142857142857,N/A,20.5,N/A,0.561643835616438,N/A,10,N/A,8.5,N/A,19,N/A,1,N/A,15,N/A,12,N/A,18,N/A,57,N/A,55.5,N/A,38,117,58.5,0.324786324786325,N/A,19,N/A,9,47,0.191489361702128,N/A,4.5,N/A,0.243243243243243,N/A,0.401709401709402,N/A,1.45299145299145,N/A,10,N/A,0.235294117647059,N/A,23,N/A,33,N/A,6,N/A,0.315789473684211,N/A,16.5,N/A,20,N/A,8,N/A,8,N/A,21,N/A,57,108,8,27,16,21,0.527777777777778,0.296296296296296,0.761904761904762,13,21,34,11.5,6,5.5,26,42,23,12,11,69,0.7808,0.7297,0.6154,0.6136,0.7273,0.6563,1.07,1.0028,1.1082,0.7027,0.6462,0.6667,0.561,0.6,0.6471,0.7624,0.8,34.417583824179,16.7326892320506,52.1024784163073,25.0102177813265,68.8351676483579,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.8304,26,314.716585853455,2,92.125,4,-2,313,10.6666666666667,1
Grambling St.,Patrick Crarey II,SWAC,,1,1,1,0.5,-21,0,1,62,N/A,-40,21,49,49,0.428571428571429,N/A,21,N/A,4,12,0.333333333333333,N/A,4,N/A,0.193548387096774,N/A,0.244897959183673,N/A,16,23,0.695652173913043,N/A,16,N/A,0.469387755102041,N/A,88.5208452312964,N/A,0.73015873015873,N/A,5,N/A,0.15625,N/A,20,N/A,25,N/A,0.367647058823529,N/A,10,N/A,0.476190476190476,N/A,19,N/A,8,N/A,38,N/A,-38,N/A,-18,N/A,12,N/A,2,N/A,26,N/A,102,N/A,36,66,33,0.545454545454545,N/A,18,N/A,12,31,0.387096774193548,N/A,6,N/A,0.176470588235294,N/A,0.46969696969697,N/A,2.33333333333333,N/A,16,N/A,0.444444444444444,N/A,27,N/A,43,N/A,19,N/A,1.05555555555556,N/A,12,N/A,0,N/A,27,N/A,16,N/A,46,N/A,17,42,3,10,13,17,0.404761904761905,0.3,0.764705882352941,4,14,18,10,17,5,4,14,10,17,5,50,0.8095,0.8571,0.75,0.8333,0.8125,0.7391,0.9444,0.9,1.0993,0.8,0.7,0.72,1,0.8947,0.625,0.8065,1,20.577615224412,20.577615224412,20.577615224412,–,20.577615224412,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5,184,3.811326343,323,29.513,97,0,88,201.333333333333,251
Grand Canyon,Bryce Drew,WAC,,2,1,3,0.666666666666667,17,0,0,86.3333333333333,76,13,94,184,61.3333333333333,0.510869565217391,49,31.3333333333333,54,23,63,0.365079365079365,113,7.66666666666667,171,0.266409266409267,229,0.342391304347826,263,48,61,0.786885245901639,68,16,155,0.331521739130435,220,122.679045092838,101,1.11052631578947,91,12.3333333333333,130,0.41111111111111,41,26.3333333333333,122,38.6666666666666,120,0.610526315789473,19,17.3333333333333,77,0.553191489361702,148,14.3333333333333,243,6.33333333333333,204,18.6666666666667,179,1,137,5.3333333333333,88,18,96,15.6666666666667,72,44.6666666666667,40,73.3333333333333,165,71,169,56.3333333333333,0.420118343195266,144,23.6666666666667,178,28,76,0.368421052631579,257,9.33333333333333,298,0.381818181818182,315,0.449704142011834,276,2.67015706806283,312,7,40,0.21,45,17.6666666666667,33,24.6666666666667,19,13.6666666666667,190,0.577464788732395,199,14.3333333333333,121,19.6666666666667,133,15.6666666666667,206,11.6666666666667,211,23.3333333333333,55,77,147,16,47,40,51,0.523809523809524,0.340425531914894,0.784313725490196,17.6666666666667,21.3333333333333,39,14.6666666666667,7.66666666666667,4.33333333333333,53,64,44,23,13,70,0.8191,0.7989,0.6957,0.746,0.8333,0.8361,1.0253,0.9325,0.9967,1.4324,0.8101,1.0086,0.8462,0.5349,0.6842,0.8108,0.933333333333333,11.7481275896383,-55.5772806144257,13.4318774019443,39.3654025200696,-30.3972756228431,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.7485,33,104.65837378803,27,64.227,21,6,79,136.826086956522,141
Green Bay,Doug Gottlieb,Horizon,,0,2,2,0,-16,0,1,63.5,N/A,-25,40,103,51.5,0.388349514563107,N/A,20,N/A,19,58,0.327586206896552,N/A,9.5,N/A,0.448818897637795,N/A,0.563106796116505,N/A,28,39,0.717948717948718,N/A,14,N/A,0.378640776699029,N/A,102.98410638988,N/A,0.891891891891892,N/A,5.5,N/A,0.161764705882353,N/A,21,N/A,26.5,N/A,0.4140625,N/A,11.5,N/A,0.575,N/A,9.5,N/A,2.5,N/A,21,N/A,-2.5,N/A,-8,N/A,6,N/A,7.5,N/A,20,N/A,88.5,N/A,58,105,52.5,0.552380952380952,N/A,29,N/A,16,43,0.372093023255814,N/A,8,N/A,0.271186440677966,N/A,0.40952380952381,N/A,2.49056603773585,N/A,9,N/A,0.3,N/A,28.5,N/A,37.5,N/A,15,N/A,0.517241379310345,N/A,5,N/A,18.5,N/A,16,N/A,16.5,N/A,37,N/A,34,79,17,47,24,31,0.430379746835443,0.361702127659574,0.774193548387097,2,15,17,10,6.5,2.5,4,30,20,13,5,54.5,0.85,0.767,0.8947,0.8103,0.8571,0.7949,1.1082,1.1041,1.0783,0.3636,0.7143,0.6415,0.8696,0.6842,1,0.8583,0.7,7.703316655902,4.7331217825,10.673511529304,4.20048987285615,15.406633311804,4,6,66.6666666666667,17,1,3,33.3333333333333,62,9,12,75,60,-2,317,3,105,5,60,0,106,1,265,1,250,2,299,1,38,0,0,1,20,0.1176,346,17.9501432592,267,-0.455,357,0,88,182.071428571429,231
Hampton,Ivan Thomas,CAA,,0,1,1,0,-16,0,1,86,N/A,-4,26,63,63,0.412698412698413,N/A,26,N/A,9,24,0.375,N/A,9,N/A,0.313953488372093,N/A,0.380952380952381,N/A,25,34,0.735294117647059,N/A,25,N/A,0.53968253968254,N/A,113.157894736842,N/A,0.938461538461538,N/A,16,N/A,0.372093023255814,N/A,30,N/A,46,N/A,0.48936170212766,N/A,18,N/A,0.692307692307692,N/A,18,N/A,6,N/A,29,N/A,-2,N/A,-14,N/A,13,N/A,31,N/A,32,N/A,90,N/A,29,70,70,0.414285714285714,N/A,29,N/A,9,29,0.310344827586207,N/A,9,N/A,0.3,N/A,0.414285714285714,N/A,1,N/A,21,N/A,0.411764705882353,N/A,27,N/A,48,N/A,20,N/A,0.689655172413793,N/A,9,N/A,27,N/A,19,N/A,33,N/A,36,N/A,23,50,7,17,23,32,0.46,0.411764705882353,0.71875,12,21,33,15,15,2,12,21,15,15,2,76,0.8846,0.7937,0.7778,0.7083,0.92,0.9412,1.1146,1.098,0.9775,0.75,0.7,0.7174,0.8333,0.8333,0.3333,0.8837,1,8.745821893984,8.745821893984,8.745821893984,–,8.745821893984,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.5,184,23.05786812,236,10.921,264,0,88,228,280
Harvard,Tommy Amaker,Ivy,,0,0,1,0,1,0,1,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,–,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.6104,86,14.0218632154112,286,11.655,254,32,49,208.666666666667,262
Hawaii,Eran Ganot,Big West,,1,1,2,0.5,-7,0,1,79.5,N/A,12.5,49,116,58,0.422413793103448,N/A,24.5,N/A,12,43,0.27906976744186,N/A,6,N/A,0.226415094339623,N/A,0.370689655172414,N/A,49,73,0.671232876712329,N/A,24.5,N/A,0.629310344827586,N/A,109.988931931378,N/A,0.894308943089431,N/A,12.5,N/A,0.352112676056338,N/A,26,N/A,38.5,N/A,0.52027027027027,N/A,12,N/A,0.489795918367347,N/A,16,N/A,9,N/A,22,N/A,4.5,N/A,1.5,N/A,21.5,N/A,11.5,N/A,36,N/A,67,N/A,43,111,55.5,0.387387387387387,N/A,21.5,N/A,10,37,0.27027027027027,N/A,5,N/A,0.223880597014925,N/A,0.333333333333333,N/A,1.6271186440678,N/A,12.5,N/A,0.324675324675325,N/A,23,N/A,35.5,N/A,11,N/A,0.511627906976744,N/A,17.5,N/A,26.5,N/A,14.5,N/A,4,N/A,32,N/A,42,96,12,38,40,53,0.4375,0.315789473684211,0.754716981132075,20.5,9,29.5,11,12,7,41,18,22,24,14,68,0.8571,0.8276,1,0.8837,0.8163,0.726,1.0357,1.1316,1.1244,1.64,0.3462,0.7662,0.9167,0.75,0.7778,0.8553,1,22.5861922686378,-0.175610583782182,45.3479951210578,32.190050297955,45.1723845372756,1,7,14.2857142857143,134,0,2,0,96,3,4,75,60,-1,307,4,76,9,9,1,70,5,358,0,1,1,254,0,90,0,0,0,77,0.5911,109,9.00241016058182,310,13.125,233,77,26,150.5,172
High Point,Flynn Clayman,Big South,,1,0,1,1,-18,0,1,97,N/A,26,40,69,69,0.579710144927536,N/A,40,N/A,9,20,0.45,N/A,9,N/A,0.278350515463918,N/A,0.289855072463768,N/A,8,15,0.533333333333333,N/A,8,N/A,0.217391304347826,N/A,139.528193325662,N/A,1.34848484848485,N/A,9,N/A,0.257142857142857,N/A,19,N/A,28,N/A,0.405797101449275,N/A,17,N/A,0.425,N/A,6,N/A,17,N/A,18,N/A,-2,N/A,10,N/A,25,N/A,14,N/A,52,N/A,71,N/A,25,57,57,0.43859649122807,N/A,25,N/A,7,26,0.269230769230769,N/A,7,N/A,0.295774647887324,N/A,0.456140350877193,N/A,1.1875,N/A,15,N/A,0.441176470588235,N/A,26,N/A,41,N/A,13,N/A,0.52,N/A,22,N/A,16,N/A,3,N/A,4,N/A,36,N/A,33,60,8,18,8,14,0.55,0.444444444444444,0.571428571428571,7,15,22,16,6,14,7,15,16,6,14,82,0.825,0.8696,0.8889,0.9,1,0.9333,0.9488,0.9877,1.0714,0.7778,0.7895,0.7857,0.9412,1,0.8235,0.8454,1,78.622146987754,78.622146987754,78.622146987754,–,78.622146987754,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,1,1,45.544903334,128,35.312,71,0,88,66.6666666666667,37
Hofstra,Speedy Claxton,CAA,,0,2,2,0,-10,0,1,75.5,N/A,-6,54,125,62.5,0.432,N/A,27,N/A,12,47,0.25531914893617,N/A,6,N/A,0.23841059602649,N/A,0.376,N/A,31,42,0.738095238095238,N/A,15.5,N/A,0.336,N/A,108.915175995384,N/A,0.96,N/A,13.5,N/A,0.36,N/A,21.5,N/A,35,N/A,0.482758620689655,N/A,14,N/A,0.518518518518519,N/A,13.5,N/A,7,N/A,26,N/A,-7.5,N/A,2,N/A,19.5,N/A,11,N/A,38,N/A,81.5,N/A,53,116,58,0.456896551724138,N/A,26.5,N/A,17,46,0.369565217391304,N/A,8.5,N/A,0.312883435582822,N/A,0.396551724137931,N/A,2.12068965517241,N/A,13.5,N/A,0.385714285714286,N/A,24,N/A,37.5,N/A,16,N/A,0.60377358490566,N/A,15.5,N/A,18.5,N/A,17.5,N/A,17,N/A,31,N/A,53,115,11,43,31,42,0.460869565217391,0.255813953488372,0.738095238095238,10,18,28,13.5,12.5,6.5,20,36,27,25,13,74,0.9815,0.92,0.9167,0.9149,1,1,1.0668,1.0019,1,0.7407,0.8372,0.8,0.9643,0.9259,0.9286,0.9801,1,4.948986804735,-9.37454040071,19.27251401018,20.2565264349603,9.89797360947,3,9,33.3333333333333,96,0,3,0,96,5,6,83.3333333333333,38,3,37,6,34,4,77,4,9,2,304,1,250,2,299,2,12,0,0,2,8,0.6,96,22.50987284,239,24.03,135,104,14,123,101
Holy Cross,Dave Paulsen,Patriot,,0,3,3,0,-1,0,1,67,256,-24.3333333333333,73,182,60.6666666666667,0.401098901098901,251,24.3333333333333,225,23,81,0.283950617283951,244,7.66666666666667,171,0.343283582089552,113,0.445054945054945,101,32,53,0.60377358490566,303,10.6666666666667,293,0.291208791208791,254,96.1354505452458,280,0.866666666666665,258,7.66666666666667,306,0.188524590163934,326,24,184,31.6666666666667,265,0.446009389671362,275,11,243,0.452054794520549,263,12,140,5,264,18.3333333333333,169,-2,229,-3.33333333333333,233,10,272,6.33333333333333,276,26,256,91.3333333333333,313,102,185,61.6666666666667,0.551351351351351,348,34,349,22,75,0.293333333333333,140,7.33333333333333,224,0.240875912408759,159,0.405405405405405,205,3.35643564356435,352,6.33333333333333,36,0.208791208791209,42,33,341,39.3333333333333,246,17.3333333333333,289,0.509803921568626,130,7.33333333333333,326,16.3333333333333,249,14,164,13.6666666666667,252,50,354,66,160,23,77,30,47,0.4125,0.298701298701299,0.638297872340426,10,16.6666666666667,26.6666666666667,10.6666666666667,7,4.66666666666667,30,50,32,21,14,61.6666666666667,0.9041,0.8791,1,0.9506,0.9375,0.8868,1.0284,1.0519,1.0572,1.3043,0.6944,0.8421,0.9697,0.5833,0.9333,0.9204,1,33.2216583784463,31.5176177691083,64.1195586997703,18.3506155714694,128.858834847325,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,0,0,N/A,0.3382,315,1.25209877843333,332,8.232,313,0,88,243.5,301
