Team,,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Arkansas Pine Bluff,,271,681,76,258,155,200,10.3636363636364,22,13.5454545454545,15.1818181818182,6.81818181818182,20.9090909090909,11.6363636363636,11,30.7272727272727,70.2727272727273,94.5454545454545,8,5,340,694,111,295,12.2727272727273,28.5454545454545,19.4545454545455,11,15.3636363636364,20.1818181818182,10.3636363636364,38.9090909090909
Arkansas St.,,326,735,96,309,223,280,13.3333333333333,26.4166666666667,13.75,15.0833333333333,7.33333333333333,20.0833333333333,12.4166666666667,11.5,36.5,80.9166666666667,80.1666666666667,8,5,334,737,87,259,10.5833333333333,23,13.6666666666667,11.1666666666667,19.1666666666667,18.1666666666667,13.0833333333333,35
Army,,243,600,104,318,125,170,9.7,25.6,13.9,12.2,4.8,18.5,10.7,6.7,25.8,71.5,81.4,8,5,281,602,83,268,9.9,27.7,15,9.7,17.7,14.4,12.3,35.4
Auburn,,337,719,98,291,239,326,13.5833333333333,23.9166666666667,13.5833333333333,10.9166666666667,7.66666666666667,15.9166666666667,15,11.5833333333333,35.1666666666667,84.25,77.75,8,4,334,746,104,305,11.4166666666667,21.8333333333333,14.9166666666667,12.4166666666667,20,13.4166666666667,12.6666666666667,34.5
Austin Peay,,225,541,73,229,112,166,10.7777777777778,25.2222222222222,14.7777777777778,12.2222222222222,9.11111111111111,16.7777777777778,19,10.2222222222222,30.8888888888889,70.5555555555556,71.6666666666667,8,5,227,515,72,230,10.3333333333333,27.1111111111111,15.1111111111111,14.2222222222222,16.3333333333333,12.3333333333333,10.8888888888889,32.2222222222222
Ball St.,,250,633,75,255,132,191,10.4545454545455,21.5454545454545,12.6363636363636,11.5454545454545,7.36363636363636,16.8181818181818,11.6363636363636,7.45454545454545,29.0909090909091,64.2727272727273,72.2727272727273,8,5,284,620,94,261,10.8181818181818,27.2727272727273,14.8181818181818,13,15.0909090909091,13.6363636363636,7.27272727272727,31.0909090909091
Baylor,,356,712,102,268,209,276,14.4545454545455,26,17.5454545454545,10.9090909090909,7,15.6363636363636,14.7272727272727,18.2727272727273,41.6363636363636,93,76.1818181818182,8,5,307,708,77,233,11.9090909090909,20.1818181818182,12.4545454545455,12.2727272727273,20.2727272727273,12.0909090909091,13.6363636363636,34.1818181818182
Bellarmine,,233,471,66,193,130,163,5.44444444444444,20.7777777777778,13.7777777777778,12.7777777777778,7,16.1111111111111,15,8.22222222222222,34.6666666666667,73.5555555555556,81.5555555555556,5,6,257,517,88,247,10.7777777777778,23,14.5555555555556,11.1111111111111,16,17.1111111111111,10.1111111111111,34.8888888888889
Belmont,,366,697,127,307,155,232,9,29.75,18.5833333333333,14.25,6.25,17.8333333333333,15.9166666666667,8.08333333333333,37.1666666666667,84.5,69.8333333333333,8,5,278,749,116,378,11.5833333333333,22.1666666666667,11.6666666666667,12.9166666666667,16.9166666666667,15.4166666666667,8.25,23
Bethune Cookman,,296,708,78,227,154,224,9.58333333333333,21.6666666666667,12,12.6666666666667,7.16666666666667,18.5833333333333,12.5,11.6666666666667,30,68.6666666666667,87.75,8,5,367,734,97,258,12.75,27.75,17.0833333333333,11,15.8333333333333,18,12.9166666666667,42
Binghamton,,256,597,52,192,231,302,7.75,23.0833333333333,10.3333333333333,14.5833333333333,5.08333333333333,15.8333333333333,12.3333333333333,8.66666666666667,30.6666666666667,66.25,81.3333333333333,8,5,357,719,102,269,10.3333333333333,24.0833333333333,14.75,9.25,18.5,16.75,13.0833333333333,37.8333333333333
Boise St.,,241,560,80,224,182,242,10.9,25,12.5,12.1,5,17.2,12.4,8.7,29.8,74.4,69,8,5,243,551,59,190,7.5,22.7,10.9,11.1,20.9,14,11.8,29.4
Boston College,,312,772,101,347,193,283,12.1538461538462,27.8461538461538,11.4615384615385,10.2307692307692,4.76923076923077,17.5384615384615,11.1538461538462,7.53846153846154,27.6923076923077,70.6153846153846,66.6923076923077,8,5,310,784,81,291,11.1538461538462,26.6153846153846,10.9230769230769,10.4615384615385,16.5384615384615,9.30769230769231,7.07692307692308,30.1538461538462
Boston University,,309,654,111,298,135,201,9.66666666666667,21.0833333333333,14.5,12.5,5.58333333333333,18.0833333333333,12,5.25,30,72.1666666666667,77.25,8,5,323,660,104,267,9.58333333333333,21.75,14,10,15.25,15.75,10.1666666666667,32.3333333333333
Bowling Green,,271,592,74,215,160,216,11.1,24.5,14.7,12.3,9.6,17.1,18.6,14,35.2,77.6,65.6,8,5,215,526,65,229,9.1,24,11.5,15.9,18.4,10.6,9.6,25.4
Bradley,,343,781,114,329,210,280,9.84615384615385,25,13.0769230769231,10.3846153846154,9.15384615384615,18.4615384615385,17.3846153846154,12.1538461538462,31.5384615384615,77.6923076923077,70.6923076923077,8,5,312,723,101,293,10.3076923076923,26.5384615384615,12.7692307692308,15.6153846153846,16.7692307692308,10,7.15384615384615,29.2307692307692
Brown,,266,634,80,236,123,178,10.7272727272727,24.5454545454545,14.2727272727273,13.0909090909091,6.90909090909091,18.2727272727273,13.2727272727273,6.45454545454545,29.4545454545455,66.8181818181818,68.1818181818182,8,5,267,635,74,253,11,25.4545454545455,12.3636363636364,12.9090909090909,15,13.5454545454545,10.2727272727273,30.1818181818182
Bryant,,252,657,97,336,122,160,8.91666666666667,23.25,11.8333333333333,14.9166666666667,6.66666666666667,15.4166666666667,9.25,5.66666666666667,23,60.25,74.0833333333333,3,10,325,720,94,254,11.75,26.1666666666667,15.8333333333333,9.75,14.5,17.0833333333333,10.3333333333333,36.1666666666667
Bucknell,,286,716,99,317,161,220,9.53846153846154,22,12.0769230769231,14.3846153846154,6.84615384615385,18,11.4615384615385,7.53846153846154,26.1538461538462,64,78.1538461538462,8,5,355,731,128,319,9.84615384615385,25.6923076923077,16.0769230769231,12.0769230769231,16.6153846153846,18.0769230769231,10.2307692307692,29.6923076923077
Buffalo,,272,581,101,266,215,288,9,22.6363636363636,12.5454545454545,9.90909090909091,7.54545454545455,16.2727272727273,15.0909090909091,11.0909090909091,27.4545454545455,78.1818181818182,72,8,5,277,626,91,279,10.5454545454545,22.6363636363636,15,11.8181818181818,19.0909090909091,10.9090909090909,10.2727272727273,29.4545454545455
Butler,,386,813,107,299,244,358,14.1538461538462,28.1538461538462,16.9230769230769,11.6923076923077,7.38461538461538,14.6153846153846,14.4615384615385,14.9230769230769,40.1538461538462,86.3846153846154,73,8,5,365,859,85,276,11.4615384615385,22.6153846153846,13.3846153846154,12,21.8461538461538,14.8461538461538,12.4615384615385,39.3846153846154
BYU,,401,799,120,326,214,283,11.3076923076923,28,15.6153846153846,10.0769230769231,9.38461538461538,13.0769230769231,16.8461538461538,15.6153846153846,39.2307692307692,87.3846153846154,66.6153846153846,12,1,320,798,104,333,11.2307692307692,21.8461538461538,13.0769230769231,13.4615384615385,18.7692307692308,8.92307692307692,8.38461538461538,28.9230769230769
Cal Baptist,,323,737,71,223,188,264,15.6666666666667,25.75,11.5,12.4166666666667,6.16666666666667,19.5833333333333,14.75,7.75,40.3333333333333,75.4166666666667,70.9166666666667,8,5,295,682,73,236,9,22.3333333333333,10.25,11.8333333333333,17.75,13.4166666666667,9.83333333333333,30.6666666666667
Cal Poly,,307,730,129,370,227,304,11.4166666666667,27.3333333333333,11.5,17.5,5.75,22.6666666666667,14.6666666666667,9,28.3333333333333,80.8333333333333,88.5833333333333,8,5,361,766,116,337,10.0833333333333,26.3333333333333,16.3333333333333,12.1666666666667,21.5833333333333,18.5,13.6666666666667,35.8333333333333
Cal St. Bakersfield,,276,672,57,203,231,311,11.6666666666667,22.4166666666667,10,15.1666666666667,7.58333333333333,19.5833333333333,14.5,11.5833333333333,28.3333333333333,70,79.9166666666667,8,5,331,723,86,272,14.4166666666667,24.1666666666667,14.4166666666667,13.25,18.5,19.5,11.5833333333333,35.8333333333333
Cal St. Fullerton,,341,782,99,311,195,287,10.5,25.8333333333333,14,12,6.83333333333333,19.8333333333333,15.0833333333333,17,36.1666666666667,81.3333333333333,89.3333333333333,8,5,360,760,130,347,10.1666666666667,29.6666666666667,16.6666666666667,13.25,20.8333333333333,16.25,12.1666666666667,34.6666666666667
Cal St. Northridge,,334,746,88,266,185,261,11.5833333333333,26.25,15.8333333333333,13.75,6.41666666666667,17.8333333333333,14,12.3333333333333,35.8333333333333,78.4166666666667,82.1666666666667,8,5,327,739,121,351,9.83333333333333,25.5,14.8333333333333,11.3333333333333,17.5,17,10.8333333333333,29.1666666666667
California,,332,689,113,285,210,272,9.25,26.5,15.8333333333333,10.5,6.16666666666667,16.6666666666667,15.0833333333333,11.4166666666667,31.8333333333333,82.25,66.3333333333333,8,5,286,712,79,265,11.25,22.75,13,12.8333333333333,17.5,11.4166666666667,8.83333333333333,29.8333333333333
Campbell,,288,686,72,255,218,319,12.5,21.5833333333333,10.3333333333333,14.25,6.33333333333333,17.8333333333333,14.4166666666667,11.5833333333333,33.6666666666667,72.1666666666667,83.3333333333333,6,8,361,717,84,222,10.6666666666667,24.5833333333333,15.8333333333333,12,19.1666666666667,18,11.25,42.6666666666667
Canisius,,239,603,73,217,146,220,9.75,22.75,11,14.6666666666667,4,16.5833333333333,8.75,6.91666666666667,22,58.0833333333333,72.5,8,5,300,672,104,335,10.3333333333333,23.6666666666667,15.3333333333333,9.58333333333333,16.3333333333333,17.5833333333333,11,27.1666666666667
Central Arkansas,,277,667,106,337,120,193,9.90909090909091,25.0909090909091,14.3636363636364,13.1818181818182,8.18181818181818,16.5454545454545,17.9090909090909,9.09090909090909,28.9090909090909,70.9090909090909,77.6363636363636,8,5,298,663,107,335,10,28.5454545454545,16.5454545454545,12.8181818181818,15.1818181818182,15.5454545454545,12.9090909090909,33.2727272727273
Central Connecticut,,229,534,65,184,109,155,9.55555555555556,24.8888888888889,13.8888888888889,10.6666666666667,6.33333333333333,12.3333333333333,10.5555555555556,9,31.1111111111111,70.2222222222222,75,6,5,243,554,80,226,10.3333333333333,26.3333333333333,14.1111111111111,10.2222222222222,15.6666666666667,14.3333333333333,8.33333333333333,31.7777777777778
Central Michigan,,277,642,67,226,124,174,10.5454545454545,21.3636363636364,14.5454545454545,11.9090909090909,4.72727272727273,18.0909090909091,10.4545454545455,9,31.2727272727273,67.7272727272727,80.0909090909091,4,9,302,621,95,257,11.8181818181818,24.8181818181818,16.8181818181818,10.6363636363636,15,14.6363636363636,13.4545454545455,35.4545454545455
Charleston,,325,736,90,305,233,322,10.8461538461538,25.3076923076923,11.9230769230769,10.6153846153846,6.07692307692308,17.3076923076923,14.6923076923077,11.2307692307692,32.1538461538462,74.8461538461538,74.8461538461538,8,5,349,792,126,355,11.6923076923077,23.7692307692308,14.5384615384615,10.3846153846154,19.4615384615385,13.7692307692308,10.4615384615385,30.6153846153846
Charleston Southern,,330,769,143,408,149,216,11.9166666666667,29.8333333333333,16.4166666666667,12.75,4.66666666666667,20.8333333333333,12.1666666666667,10.5,29.1666666666667,79.3333333333333,77.3333333333333,8,5,315,766,84,267,11.3333333333333,28,12.0833333333333,9,16.0833333333333,14.1666666666667,11.75,30.5
Charlotte,,290,660,103,288,171,249,12.25,22.9166666666667,12.3333333333333,11.75,5.16666666666667,17.6666666666667,12.8333333333333,10,28.1666666666667,71.1666666666667,71.25,8,5,290,646,93,268,9.91666666666667,21.4166666666667,12.5833333333333,10.3333333333333,17.9166666666667,12.9166666666667,8.91666666666667,29.3333333333333
Chattanooga,,234,546,90,278,148,195,7,21.7,14.3,9.9,6,18.4,11,8.3,25.4,70.6,78.3,8,5,260,563,82,229,10.7,25.5,15,10.4,20.3,13.1,9.5,31.8
Chicago St.,,274,704,56,195,172,222,11.4166666666667,19.9166666666667,9.33333333333333,12.8333333333333,8.5,20.0833333333333,12.5833333333333,8.33333333333333,27.1666666666667,64.6666666666667,85.4166666666667,2,11,343,705,138,390,12.5833333333333,25.8333333333333,21.25,12.8333333333333,15.25,16.5,13.3333333333333,32.5
Cincinnati,,344,807,121,382,176,276,11.7692307692308,28.3846153846154,17.5384615384615,13.0769230769231,7,16.9230769230769,16.0769230769231,13.4615384615385,30.9230769230769,75.7692307692308,65.4615384615385,8,5,294,752,97,323,8.46153846153846,26.6923076923077,13.0769230769231,15.0769230769231,17,11.9230769230769,6.38461538461538,23.3846153846154
Clemson,,351,769,110,327,224,303,11.6923076923077,27.6923076923077,14.7692307692308,9.23076923076923,6.07692307692308,16,14.0769230769231,9,34.6153846153846,79.6923076923077,65.8461538461538,8,5,295,744,88,322,9.46153846153846,23.1538461538462,10.0769230769231,11,18.9230769230769,9.53846153846154,8,26.6153846153846
Cleveland St.,,290,675,121,322,223,296,9.75,22.5,13.5833333333333,14.4166666666667,4.66666666666667,19.25,12.0833333333333,12.6666666666667,25,77,90.5,5,10,386,789,117,346,14.1666666666667,24,18.1666666666667,10.5,19.1666666666667,20.5,14.0833333333333,40.3333333333333
Coastal Carolina,,314,804,101,323,169,240,9.30769230769231,29.3076923076923,10.3076923076923,9.76923076923077,5,21,10.5384615384615,8,26.2307692307692,69.0769230769231,72.7692307692308,8,6,313,787,90,291,10.3846153846154,30.4615384615385,9.92307692307692,9.92307692307692,16.5384615384615,12.3076923076923,8.38461538461538,28.7692307692308
