,Coach Name,Conference,,Opponent,Opponent Conference,Date,Location,HAN,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,Points,Opp Points,SM,Line,Over/Under Line,Total Points,Wins,Losses,WIN_PERC,Championship Criteria,Upset Twice,Winless March,Points,SM,FGM,FGA,FGA/G,FG_PERC,FG_PERC_Rank,FGM/G,FGM/G_Rank,FG3sM,FG3sA,FG3_PERC,FG3_PERC_Rank,FG3M/G,FG3M/G_Rank,% of Points from 3,% of Points from 3 rank,% of shots taken from 3,% of shots taken from 3 Rank,FTM,FTA,FT_PERC,FT_PERC_Rank,FTM/G,FTM/G Rank,FTA/FGA,FTA/FGA Rank,Off_eff,Off_eff_rank,Offensive efficiency hybrid,Off_eff_hybrid_rank,OReb,OReb Rank,Oreb_rate,Oreb_rate_rank,DReb,DReb Rank,Rebounds,Rebounds Rank,Rebound Rate,Rebound Rate Rank,AST,AST Rank,AST/FGM,AST/FGM Rank,TO,TO Rank,STL,STL Rank,PF,PF_Rank,Foul Differential,Foul Differential Rank,Extra Scoring Chances,Extra Scoring Chances Rank,PTS_OFF_TURN,PTS_OFF_TURN_RANK,FST_BREAK,FST_BREAK_RANK,PTS_PAINT,PTS_PAINT_RANK,OPP_PPG,OPP_PPG_RANK,OPP_FGM,OPP_FGA,OPP_FGA/G,OPP_FG_PERC,OPP_FG_PERC_Rank,OPP_FGM/G,OPP_FGM/G_Rank,OPP_FG3sM,OPP_FG3sA,OPP_FG3_PERC,OPP_FG3_PERC_Rank,OPP_FG3M/G,OPP_FG3M/G_Rank,OPP_% of Points from 3,OPP_% of Points from 3 rank,OPP_% of shots taken from 3,OPP_% of shots taken from 3 Rank,Def_efficiency hybrid,Def_eff_hybrid_rank,OPP_OReb,OPP_OReb_RANK,OPP_OReb_rate,OPP_OReb_rate_RANK,OPP_DReb,OPP_DReb_RANK,OPP_REBOUNDS,OPP_REBOUNDS_RANK,OPP_AST,OPP_AST_RANK,OPP_AST/FGM,OPP_AST/FGM_Rank,OPP_TO,OPP_TO_RANK,OPP_PF,OPP_PF_RANK,OPP_PTS_OFF_TURN,OPP_PTS_OFF_TURN_RANK,OPP_FST_BREAK,OPP_FST_BREAK_RANK,OPP_PTS_PAINT,OPP_PTS_PAINT_RANK,FGM_TOP7,FGA-Top7,FG3sM-Top7,FG3sA-Top7,FTM-Top7,FTA-Top7,FG_PERC-Top7,FG3_PERC-Top7,FT_PERC-Top7,OReb-Top7,DReb-Top7,Rebounds-Top7,AST-Top7,TO-Top7,STL-Top7,OReb-Top7-Total,DReb-Top7-Total,AST-Top7-Total,TO-Top7-Total,STL-Top7-Total,OReb-Top7-Total,DReb-Top7-Total,AST-Top7-Total,TO-Top7-Total,STL-Top7-Total,Points per Game-Top7,FGM-Top7-Perc,FGA-Top7-Perc,FG3sM-Top7-Perc,FG3sA-Top7-Perc,FTM-Top7-Perc,FTA-Top7-Perc,FG_PERC_Top7_per,FG3_PERC_Top7_per,FT_PERC_Top7_per,OReb-Top7-Perc,DReb-Top7-Perc,Rebounds-Top7-Perc,AST-Top7-Perc,TO-Top7-Perc,STL-Top7-Perc,Points-Top7-Perc,Start Percentage top 7,SOS_MED,SOS_MIN,SOS_MAX,SOS_STDEV,SOS_SUM,CLUTCH_FGM,CLUTCH_FGA,CLUTCH_FGPERC,CLUTCH_FG_RANK,CLUTCH_3FGM,CLUTCH_3FGA,CLUTCH_3FGPERC,CLUTCH_3_RANK,CLUTCH_FTM,CLUTCH_FTA,CLUTCH_FTPERC,CLUTCH_FT_RANK,CLUTCH_SM,CLUTCH_SM_RANK,CLUTCH_REB,CLUTCH_REB_RANK,OPP_CLTCH_REB,OPP_CLTCH_REB_RANK,CLTCH_OFF_REB,CLTCH_OFF_REB_RANK,OPP_CLTCH_OFF_REB,OPP_CLTCH_OFF_REB_RANK,CLTCH_TURN,CLTCH_TURN_RANK,CLTCH_OPP_TURN,CLTCH_OPP_TURN_RANK,CLTCH_STL,CLTCH_STL_RANK,TOP25_CLUTCH,OVERTIME_GAMES,STEAL_TURNOVER_RATIO,STEAL_TURNOVER_RATIO_RANK,Culture (coach record at school),Culture_rank,Coach Value,Coach Value Rank,Historical Value,Historical Value Rank,5 Year coach gap
Arizona St.,Bobby Hurley,Big 12,,Colorado,Big 12,"January 3, 2026","Tempe, AZ",HOME,"7,377",0,0,0,0,0,89,95,-6,-1.5,157.5,184,9,5,0.642857142857143,6,0,1,80.6428571428571,4,375,809,57.7857142857143,0.463535228677379,101,26.7857142857143,140,110,318,0.345911949685535,137,7.85714285714286,171,0.29229406554473,236,0.393077873918418,192,269,358,0.751396648044693,89,19.2142857142857,32,0.442521631644005,31,118.797087419504,88,1.03365384615385,129,9.57142857142857,275,0.286324786324786,240,23.3571428571429,233,32.9285714285715,265,0.484752891692955,228,13.8571428571429,158,0.517333333333335,198,11.2142857142857,103,7.28571428571429,132,18.5714285714286,251,2.8571428571428,42,1.42857142857147,126,16.7142857142857,59,16.2857142857143,21,33.8571428571429,118,76.6428571428571,212,357,808,57.7142857142857,0.441831683168317,155,25.5,285,118,356,0.331460674157303,159,8.42857142857143,315,0.329916123019572,308,0.440594059405941,298,14.398022249691,268,11.1428571428571,201,0.322981366459626,229,23.8571428571429,145,35,165,13.2857142857143,151,0.521008403361345,64,14.2142857142857,49,21.4285714285714,10,13.6428571428571,171,10.1428571428571,167,30.7142857142857,142,279,603,92,252,206,261,0.462686567164179,0.365079365079365,0.789272030651341,7.64285714285714,15.7142857142857,23.3571428571428,11.2857142857143,7,5.85714285714286,107,220,158,98,82,107,220,158,98,82,61.1428571428571,0.744,0.7454,0.8364,0.7925,0.7658,0.7291,0.9982,1.0554,1.0504,0.7985,0.6728,0.7093,0.8144,0.6242,0.8039,0.7582,0.885714285714286,13.8166929732204,-37.0289374121415,90.9313523930185,31.7972220224194,215.225986845119,17,43,39.5348837209302,259,5,22,22.7272727272727,267,30,42,71.4285714285714,229,-1,227,4.66666666666667,255,4,298,2,110,1.16666666666667,78,1.33333333333333,133,2,263,0.833333333333333,168,0,0,0.625000000000001,152,0.5315,161,52.062101455478,101,5.994,338,-237
Colorado,Tad Boyle,Big 12,,Arizona St.,Big 12,"January 3, 2026","Tempe, AZ",AWAY,"7,377",0,0,1,0,0,95,89,6,1.5,157.5,184,11,3,0.785714285714286,6,0,0,86.5714285714286,8.3571428571429,422,845,60.3571428571429,0.499408284023669,19,30.1428571428571,31,95,255,0.372549019607843,42,6.78571428571429,269,0.235148514851485,338,0.301775147928994,348,273,355,0.769014084507042,41,19.5,23,0.420118343195266,60,127.161322813497,32,1.12725090036014,44,11.2142857142857,160,0.338362068965517,96,25.7142857142857,95,36.9285714285714,107,0.536863966770509,55,16.4285714285714,58,0.545023696682464,145,10.3571428571429,49,6.64285714285714,198,17,123,3.0714285714286,36,1.76923076923076,87,14.5714285714286,138,16.7857142857143,15,41.7142857142857,16,78.2142857142857,243,389,856,61.1428571428571,0.454439252336449,220,27.7857142857143,342,114,309,0.368932038834951,305,8.14285714285714,294,0.312328767123288,271,0.360981308411215,82,14.4872389791183,275,9.92857142857143,88,0.278557114228457,72,21.9285714285714,47,31.8571428571428,50,12.6428571428571,106,0.455012853470435,14,11.6428571428571,217,20.0714285714286,34,10.2142857142857,21,10.4285714285714,184,33.4285714285714,224,343,673,83,199,218,273,0.509658246656761,0.417085427135678,0.798534798534799,7.35714285714286,18,25.3571428571429,13.2142857142857,6.64285714285714,4.92857142857143,103,252,185,93,69,103,252,185,93,69,70.5,0.8128,0.7964,0.8737,0.7804,0.7985,0.769,1.0205,1.1195,1.0384,0.6561,0.7,0.6867,0.8043,0.6414,0.7419,0.8144,0.928571428571429,-1.45488619182627,-37.283442073863,74.4725705179788,32.8368403691019,126.793146827644,25,52,48.0769230769231,122,8,18,44.4444444444444,60,66,77,85.7142857142857,41,1.14285714285714,116,4.71428571428571,251,3.85714285714286,322,1.57142857142857,203,1,33,0.857142857142857,49,1.57142857142857,196,1.14285714285714,95,0,1,1.33333333333333,28,0.5135,176,59.4483926637133,79,56.291,29,50
