Team,HomeAwayNeut,Date,Opponent,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Seton Hall,HOME,"November 18, 2025",New Haven,26,54,8,20,8,10,7,29,17,10,9,12,18,6,32,68,45,5,0,17,49,6,21,5,23,8,14,10,10,2,16
New Haven,AWAY,"November 18, 2025",Seton Hall,17,49,6,21,5,8,5,23,8,14,7,10,10,2,16,45,68,2,4,26,54,8,20,7,29,17,10,12,18,6,32
