,GAME,BET TYPE,BET,VALUE,ODDS,Probability of accuracy,Payout if win
0,Oklahoma vs Kentucky,ML,Oklahoma ML,38,380,0.995,182.4
1,Texas A&M vs Alabama,ML,Texas A&M ML,35,320,0.9706517393042782,147
2,Georgia Tech vs California,ML,Georgia Tech ML,33,280,0.9685742459192477,125.4
3,Washington vs Iowa,ML,Washington ML,21,120,0.9738374038139845,46.2
4,UCF vs Houston,SPREAD,UCF +16.5,18,-110,0.9901639344262294,34.36
5,Notre Dame vs Louisville,SPREAD,Notre Dame +17.5,17,-110,0.9739985467871358,32.45
6,Texas A&M vs Alabama,SPREAD,Texas A&M +8.5,17,-110,0.9706517393042782,32.45
7,Utah vs Arizona St.,ML,Utah ML,16,-122,0.9696707371473179,29.11
8,Utah vs Arizona St.,OVER UNDER,Over 161.5,16,-110,0.926531577169875,30.55
9,Oklahoma St. vs BYU,ML,Oklahoma St. ML,16,245,0.6379615068352348,55.2
10,Colorado vs Baylor,ML,Colorado ML,15,275,0.5992126047711154,56.25
11,Minnesota vs Michigan St.,OVER UNDER,Under 133.5,15,-110,0.9081081081081082,28.64
12,Notre Dame vs Louisville,OVER UNDER,Over 154.5,14,-110,0.8978346363420989,26.73
13,Minnesota vs Michigan St.,ML,Minnesota ML,14,340,0.5188874327611608,61.6
14,Providence vs Butler,ML,Providence ML,14,142,0.7579626047711153,33.88
15,Clemson vs Stanford,ML,Clemson ML,13,-175,0.995,20.43
16,Texas A&M vs Alabama,OVER UNDER,Over 178.5,13,-110,0.8640568585643212,24.82
17,Georgia Tech vs California,OVER UNDER,Over 152.5,13,-110,0.8626625441846494,24.82
18,Georgetown vs Creighton,ML,Georgetown ML,12,-135,0.897863247863248,20.89
19,Clemson vs Stanford,OVER UNDER,Under 138.5,12,-110,0.8227686073687652,22.91
20,Oklahoma St. vs BYU,OVER UNDER,Over 168.5,11,-110,0.8069967407403549,21
21,Oklahoma vs Kentucky,OVER UNDER,Over 154.5,10,-110,0.7771233284983748,19.09
22,Washington vs Iowa,OVER UNDER,Over 140.5,9,-110,0.7574577182099961,17.18
23,Northwestern vs Illinois,OVER UNDER,Over 150.5,9,-110,0.7489186771482786,17.18
24,Villanova vs Seton Hall,ML,Villanova ML,8,-340,0.995,10.35
25,Utah vs Arizona St.,SPREAD,Utah -1.5,8,-110,0.7272311977916482,15.27
26,Villanova vs Seton Hall,SPREAD,Villanova -7.5,6,-110,0.668080758904997,11.45
27,Clemson vs Stanford,SPREAD,Stanford +3.5,5,-110,0.6607297876178114,9.55
28,UCF vs Houston,OVER UNDER,Over 147.5,5,-110,0.6511988795518208,9.55
29,Georgetown vs Creighton,SPREAD,Creighton +1.5,5,-110,0.6505286192883172,9.55
30,Colorado vs Baylor,OVER UNDER,Under 158.5,5,-110,0.6436078494022419,9.55
31,Furman vs East Tennessee St.,ML,Furman ML,28,210,0.9792617046818727,86.8
32,South Alabama vs Appalachian St.,ML,South Alabama ML,26,195,0.9400586464093832,76.7
33,Youngstown St. vs Purdue Fort Wayne,ML,Youngstown St. ML,19,120,0.9214833759590793,41.8
34,Western Carolina vs UNC Greensboro,SPREAD,UNC Greensboro +1.5,18,-110,0.995,34.36
35,Maryland Eastern Shore vs South Carolina St.,SPREAD,South Carolina St. +3.5,18,-110,0.995,34.36
36,Wright St. vs Robert Morris,SPREAD,Robert Morris +2.5,18,-110,0.9907375099127677,34.36
37,New Mexico vs Utah St.,OVER UNDER,Over 156.5,18,-110,0.9794117647058824,34.36
38,Furman vs East Tennessee St.,SPREAD,Furman +5.5,18,-110,0.9792617046818727,34.36
39,South Dakota vs UMKC,SPREAD,UMKC +2.5,18,-110,0.9758119658119658,34.36
