,GAME,BET TYPE,BET,VALUE,ODDS,Probability of accuracy,Payout if win
0,Kansas St. vs Iowa St.,ML,Kansas St. ML,89,490,0.925,525.1
1,Nebraska vs Illinois,ML,Nebraska ML,36,-130,0.995,63.69
2,Kansas St. vs Iowa St.,SPREAD,Kansas St. +11.5,34,-110,0.925,64.91
3,Nebraska vs Illinois,SPREAD,Nebraska -1.5,30,-110,0.8848253527642841,57.27
4,Nebraska vs Illinois,OVER UNDER,Under 150.5,26,-110,0.8274158857652834,49.64
5,Kansas St. vs Iowa St.,OVER UNDER,Over 155.5,19,-110,0.7483787303601609,36.27
6,Alabama vs Florida,ML,Alabama ML,70,270,0.9695539967279098,259
7,Alabama vs Florida,OVER UNDER,Over 174.5,26,-110,0.8367963582808944,49.64
8,Purdue vs Maryland,OVER UNDER,Under 150.5,37,-110,0.957037037037037,70.64
9,Purdue vs Maryland,SPREAD,Purdue -13.5,32,-110,0.905,61.09
10,Tulane vs Memphis,OVER UNDER,Under 147.5,27,-110,0.8438518518518519,51.55
11,Oregon vs Iowa,ML,Oregon ML,75,350,0.925,337.5
12,TCU vs Colorado,ML,TCU ML,39,-112,0.995,73.82
13,Oregon vs Iowa,SPREAD,Oregon +9.5,34,-110,0.925,64.91
14,Oregon vs Iowa,OVER UNDER,Over 134.5,31,-110,0.8868779053171068,59.18
15,Penn St. vs Minnesota,OVER UNDER,Over 142.5,27,-110,0.8387340735797977,51.55
16,TCU vs Colorado,OVER UNDER,Under 153.5,23,-110,0.7905587429081404,43.91
17,TCU vs Colorado,SPREAD,Colorado +1.5,14,-110,0.6947763651580685,26.73
18,Wichita St. vs Tulsa,ML,Wichita St. ML,56,225,0.8974525474525474,182
19,Rhode Island vs Duquesne,ML,Rhode Island ML,43,114,0.9695539967279098,92.02
20,Mount St. Mary's vs Manhattan,SPREAD,Manhattan +6.5,39,-110,0.9827795980777632,74.45
21,East Tennessee St. vs Wofford,SPREAD,Wofford +2.5,36,-110,0.9512195121951219,68.73
22,Florida Atlantic vs East Carolina,OVER UNDER,Over 151.5,35,-110,0.9420203359858533,66.82
23,East Tennessee St. vs Wofford,OVER UNDER,Over 149.5,35,-110,0.9420203359858533,66.82
24,Wright St. vs Green Bay,OVER UNDER,Over 144.5,31,-110,0.8953076923076922,59.18
25,Quinnipiac vs Fairfield,OVER UNDER,Over 151.5,28,-110,0.8550927149384393,53.45
26,UMKC vs St. Thomas,OVER UNDER,Under 152.5,27,-110,0.8432625815183955,51.55
27,Samford vs Western Carolina,ML,Samford ML,25,-102,0.8037265366212735,49.51
28,Milwaukee vs Cleveland St.,OVER UNDER,Over 162.5,25,-110,0.8214127400159201,47.73
29,Chattanooga vs Furman,OVER UNDER,Under 144.5,25,-110,0.816730594986409,47.73
30,Samford vs Western Carolina,SPREAD,Samford +1.5,24,-110,0.8037265366212735,45.82
31,Niagara vs Marist,OVER UNDER,Under 130.5,23,-110,0.7944170613115542,43.91
32,UMKC vs St. Thomas,SPREAD,UMKC +18.5,21,-110,0.7785546203866816,40.09
33,Mount St. Mary's vs Manhattan,OVER UNDER,Over 148.5,20,-110,0.7590927559097134,38.18
34,Samford vs Western Carolina,OVER UNDER,Over 154.5,20,-110,0.7557849487388332,38.18
35,Rhode Island vs Duquesne,OVER UNDER,Under 144.5,19,-110,0.7516894727239555,36.27
36,Coastal Carolina vs Louisiana Monroe,OVER UNDER,Over 146.5,19,-110,0.7453639606762172,36.27
37,Quinnipiac vs Fairfield,SPREAD,Fairfield +1.5,17,-110,0.722563445623164,32.45
38,Florida Atlantic vs East Carolina,SPREAD,Florida Atlantic -12.5,16,-110,0.7173654713714456,30.55
39,Oakland vs Northern Kentucky,OVER UNDER,Under 167.5,16,-110,0.7105071365416193,30.55
40,Quinnipiac vs Fairfield,ML,Quinnipiac ML,14,-118,0.712077677224736,25.86
41,Siena vs Canisius,ML,Siena ML,13,-400,0.9669330669330669,16.25
42,Chattanooga vs Furman,SPREAD,Chattanooga +8.5,13,-110,0.6777693538066679,24.82
43,Siena vs Canisius,SPREAD,Canisius +8.5,12,-110,0.6665410710404214,22.91
