,GAME,BET TYPE,BET AMOUNT,WIN PAYOUT,WIN/LOSS,Payout
0,VCU vs Niagara,Under 142,16.5,31.5,TRUE,31.5
1,TCU vs Incarnate Word,Incarnate Word17.5,14,26.73,TRUE,26.73
2,East Texas A&M vs Southeastern Louisiana,Under 136,14,26.73,FALSE,0
3,Wofford vs Gardner Webb,Under 153,8.5,16.23,TRUE,16.23
4,McNeese St. vs Houston Christian,Under 136,2,3.82,FALSE,0
,,,,,,
,,,55,,,74.46
